creator,onde estudou,nome da escola,datas em que estudou,fonte_onde_estudou,fonte_nome_escola,fonte_datas_estudo,observacoes_pesquisa,confianca_preenchimento
Jean Dewasne,"Paris, França",École des Beaux-Arts,1939–c. 1941,https://jeandewasne.com/en/biography/,https://jeandewasne.com/en/biography/,https://jeandewasne.com/en/biography/,A biografia informa estudo na seção de arquitetura e frequência aos ateliês de Montparnasse.,media
Jean Deyrolle,"Paris, França",Académie de la Grande Chaumière,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em fontes sumárias,baixa
Roger Dudant,"Tournai, Bélgica; Bruxelas, Bélgica",Academy of Arts of Tournai; La Cambre,até 1949; 1950–1953,Artsy biography,Artsy biography,Artsy biography,,media
Emerik Fejes,"Subotica, Sérvia",,,https://en.wikipedia.org/wiki/Emerik_Fejes,,,artista autodidata; sem escola formal localizada,media
Achille Funi,"Ferrara, Itália; Milão, Itália",Art School “Dosso Dossi”; Accademia di Brera,s.d.; 1906–1910,https://www.laocoontegalleria.it/en/achille-funi/,https://www.laocoontegalleria.it/en/achille-funi/,https://www.laocoontegalleria.it/en/achille-funi/,A data da etapa inicial em Ferrara não aparece com precisão no trecho consultado.,alta
Albert Gleizes,"Paris, França",,c. 1901,https://en.wikipedia.org/wiki/Albert_Gleizes,https://en.wikipedia.org/wiki/Albert_Gleizes,https://en.wikipedia.org/wiki/Albert_Gleizes,Autodidata; não foi localizada instituição formal de ensino artístico.,media
Virgilio Guidi,"Roma, Itália; Roma, Itália",Scuola Libera di Pittura; Accademia di Belle Arti di Roma,c. 1904–1908; c. 1908–1910s,https://en.wikipedia.org/wiki/Virgilio_Guidi,https://en.wikipedia.org/wiki/Virgilio_Guidi,https://en.wikipedia.org/wiki/Virgilio_Guidi,Fontes apontam formação inicial na escola livre de pintura e continuidade dos estudos na Academia de Belas Artes de Roma.,media
Renato Guttuso,"Palermo, Itália",Universidade de Palermo,c. 1930,https://en.wikipedia.org/wiki/Renato_Guttuso,https://en.wikipedia.org/wiki/Renato_Guttuso,https://en.wikipedia.org/wiki/Renato_Guttuso,Também frequentou o ateliê de Pippo Rizzo; preenchimento institucional mantido apenas para a universidade.,media
Lorenzo Indrimi,"Bolonha, Itália",Accademia di Belle Arti di Bologna,,https://it.wikipedia.org/wiki/Lorenzo_Indrimi,https://it.wikipedia.org/wiki/Lorenzo_Indrimi,,instituição identificada; datas não localizadas com precisão,media
Humberto Jaimess-Sanchez,"Bogotá, Colômbia",Escuela de Bellas Artes,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em fontes sumárias,baixa
Wassily Kandinsky,"Moscou, Rússia; Munique, Alemanha; Munique, Alemanha","Universidade de Moscou; escola particular de Anton Ažbe; Academy of Fine Arts, Munich",1886–1892; 1897–1899; 1900,https://www.wassily-kandinsky.org/Biography.jsp; https://municharttogo.zikg.eu/items/show/141; https://www.tate.org.uk/art/artists/wassily-kandinsky-1382,https://www.wassily-kandinsky.org/Biography.jsp; https://municharttogo.zikg.eu/items/show/141; https://www.tate.org.uk/art/artists/wassily-kandinsky-1382,https://www.wassily-kandinsky.org/Biography.jsp; https://municharttogo.zikg.eu/items/show/141,,alta
Arthur Kaufmann,"Viena, Áustria",Akademie der bildenden Künste Wien,,https://de.wikipedia.org/wiki/Arthur_Kaufmann_(Maler),https://de.wikipedia.org/wiki/Arthur_Kaufmann_(Maler),,academia identificada; datas não localizadas com precisão,media
Félix Labisse,"Paris, França",Académie Humbert,,https://fr.wikipedia.org/wiki/F%C3%A9lix_Labisse,https://fr.wikipedia.org/wiki/F%C3%A9lix_Labisse,,instituição identificada; datas não localizadas com precisão,media
Jim Leon,"Los Angeles, EUA",Chouinard Art Institute,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada em fontes sumárias,baixa
Alfred Leslie,"Nova York, EUA; Nova York, EUA; Nova York, EUA",Art Students League; New York University; Pratt Institute,c. 1946; 1947–1949; s.d.,https://ngabiographies.org/biographies/alfredleslie ; https://en.wikipedia.org/wiki/Alfred_Leslie,https://ngabiographies.org/biographies/alfredleslie ; https://en.wikipedia.org/wiki/Alfred_Leslie,https://ngabiographies.org/biographies/alfredleslie,Datas da Pratt Institute não apareceram com precisão nas fontes revisadas.,media
André Lhote,Bordeaux,École des Beaux-Arts de Bordeaux,1898–1904,Wikipédia,Wikipédia,Wikipédia,identificado como artista,alta
Umberto Lilloni,"Milão, Itália; Milão, Itália",Società Umanitaria; Accademia di Brera,até 1915; 1915–1917,https://www.treccani.it/enciclopedia/umberto-lilloni_(Dizionario-Biografico)/,https://www.treccani.it/enciclopedia/umberto-lilloni_(Dizionario-Biografico)/,https://www.treccani.it/enciclopedia/umberto-lilloni_(Dizionario-Biografico)/,interrompe os estudos em 1917 para servir na guerra,alta
Mario Mafai,"Roma, Itália","Scuola Libera del Nudo, Accademia di Belle Arti di Roma",,https://pt.wikipedia.org/wiki/Mario_Mafai,https://pt.wikipedia.org/wiki/Mario_Mafai,,"Biografia consultada confirma a frequência à Scuola Libera del Nudo, sem datas precisas nesta passada.",media
Alberto Magnelli,"Florença, Itália",,c. 1907,https://prabook.com/web/alberto.magnelli/2557564; https://www.wikiart.org/en/alberto-magnelli,https://prabook.com/web/alberto.magnelli/2557564; https://www.wikiart.org/en/alberto-magnelli,https://www.wikiart.org/en/alberto-magnelli,Autodidata; fontes consultadas indicam ausência de formação formal em escola de arte.,media
Alfred Manessier,"Paris, França; Amiens, França",Beaux-Arts de Paris; Amiens Higher School of Art and Design,,MAC_consolidado_normalized.csv / enriched_batch1.csv,MAC_consolidado_normalized.csv / enriched_batch1.csv,,dados recuperados de base auxiliar; datas não localizadas,alta
Piero Marussig,"Veneza, Itália",Accademia di Belle Arti di Venezia,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada; datas não localizadas com precisão,media
Francesco Menzio,"Turim, Itália",Accademia Albertina di Belle Arti,c. 1910s,https://en.wikipedia.org/wiki/Francesco_Menzio,https://en.wikipedia.org/wiki/Francesco_Menzio,https://en.wikipedia.org/wiki/Francesco_Menzio,"Fonte informa matrícula por um ano na Accademia Albertina, depois da qual completou a formação de modo autônomo.",media
Jean Metzinger,"Nantes, França",École des Beaux-Arts de Nantes,c. 1900–1903,Wikipedia,Wikipedia,Wikipedia,Também estudou pintura com Hippolyte Touront antes da mudança para Paris.,media
Jean Le Moal,"Lyon, França; Paris, França; Paris, França",École des Beaux-Arts de Lyon; École nationale supérieure des arts décoratifs; Académie Ranson,1926; 1929; 1935–1936,https://en.wikipedia.org/wiki/Jean_Le_Moal,https://en.wikipedia.org/wiki/Jean_Le_Moal,https://en.wikipedia.org/wiki/Jean_Le_Moal,"A biografia consultada traz a sequência das três formações, com intervalo completo explicitado para a Académie Ranson.",media
Giorgio Morandi,"Bolonha, Itália",Accademia di Belle Arti di Bologna,1907–1913,Wikipedia; TheArtStory,Wikipedia; TheArtStory,Wikipedia,,alta
Mattia Moreni,"Turim, Itália",Universidade de Turim,,https://it.wikipedia.org/wiki/Mattia_Moreni,https://it.wikipedia.org/wiki/Mattia_Moreni,,instituição identificada; datas não localizadas com precisão,media
Richard Mortensen,"Copenhague, Dinamarca",Royal Danish Academy of Fine Arts,1931–1932,https://www.britannica.com/biography/Richard-Mortensen,https://www.britannica.com/biography/Richard-Mortensen,https://www.britannica.com/biography/Richard-Mortensen,Britannica informa que deixou a academia após dois anos para trabalhar de forma independente.,alta
Ginés Parra,"Nova York, EUA; Nova York, EUA; Paris, França",Art Students League of New York; National Academy School of Fine Arts; École Nationale Supérieure des Beaux-Arts,c. 1910s; c. 1910s; c. 1920,https://es.wikipedia.org/wiki/Gin%C3%A9s_Parra ; https://galerialopeztorres.com/en/artists/gines-parra/,https://es.wikipedia.org/wiki/Gin%C3%A9s_Parra ; https://galerialopeztorres.com/en/artists/gines-parra/,https://es.wikipedia.org/wiki/Gin%C3%A9s_Parra ; https://galerialopeztorres.com/en/artists/gines-parra/,,media
Constant Permeke,"Bruges, Bélgica; Ghent, Bélgica",Academy of Bruges; Academy of Ghent,1903–1906; 1906–1908,https://www.britannica.com/biography/Constant-Permeke,https://www.britannica.com/biography/Constant-Permeke,https://www.britannica.com/biography/Constant-Permeke,Britannica informa formação em academias de arte em Bruges e Ghent com datas específicas.,alta
Francis Picabia,"Paris, França",École des Arts Décoratifs,1895–c. 1897,Picabia.com; Wikipedia,Picabia.com; Wikipedia,Wikipedia,"Fontes também citam estudo com Fernand Cormon, Ferdinand Humbert e Albert Charles Wallet.",alta
Fausto Pirandello,"Roma, Itália","Scuola Libera del Nudo, Accademia di Belle Arti di Roma",1920,https://www.scuolaromana.it/artisti/pirandel.htm,https://www.scuolaromana.it/artisti/pirandel.htm,https://www.scuolaromana.it/artisti/pirandel.htm,a fonte também registra acompanhamento de Felice Carena a partir de 1921,alta
Filippo De Pisis,"Bolonha, Itália",Università di Bologna,1914–1919,https://en.wikipedia.org/wiki/Filippo_De_Pisis,https://en.wikipedia.org/wiki/Filippo_De_Pisis,https://en.wikipedia.org/wiki/Filippo_De_Pisis,A biografia consultada menciona estudos de literatura e filosofia; a pintura se desenvolve depois em Roma.,media
Serge Poliakoff,"Moscou, Rússia; Paris, França","Moscow School of Painting, Sculpture and Architecture; Académie de la Grande Chaumière",até 1918; 1929,https://en.wikipedia.org/wiki/Serge_Poliakoff,https://en.wikipedia.org/wiki/Serge_Poliakoff,https://en.wikipedia.org/wiki/Serge_Poliakoff,Fonte confirma formação em Moscou antes do exílio e matrícula na Grande Chaumière em Paris em 1929.,media
Joan Ponç,"Barcelona, Espanha; Barcelona, Espanha",ateliê de Ramón Rogent; Academia de Artes Plásticas,1944; 1944,https://enciclopedia.itaucultural.org.br/pessoas/2127-joan-ponc,https://enciclopedia.itaucultural.org.br/pessoas/2127-joan-ponc,https://enciclopedia.itaucultural.org.br/pessoas/2127-joan-ponc,A Enciclopédia Itaú Cultural explicita o início da formação artística em 1944 com Rogent e na Academia de Artes Plásticas.,alta
Ottone Rosai,"Florença, Itália; Florença, Itália",Accademia di Belle Arti di Firenze; School of Engraving (com Celestino Celestini),até 1912; c. 1913,Estorick Collection; Collezione Giuseppe Iannaccone,Estorick Collection; Collezione Giuseppe Iannaccone,Estorick Collection; Collezione Giuseppe Iannaccone,expulso da academia; continuidade dos estudos em gravura,media
Bruno Saetti,"Bolonha, Itália",Accademia di Belle Arti di Bologna,até 1924,EmporiumArt biography,EmporiumArt biography,EmporiumArt biography,,media
Alberto Salietti,"Milão, Itália",Accademia di Brera,até 1914,Wikipedia (it); Pittori Liguri,Wikipedia (it); Pittori Liguri,Wikipedia (it); Pittori Liguri,,media
Anna Salvatore,"Nápoles, Itália",Accademia di Belle Arti di Napoli,s.d.,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,instituição identificada; datas não localizadas com precisão,media
Roberto Sambonet,"Milão, Itália; Milão, Itália; Milão, Itália",Manzoni; Brera Academy; Polytechnic University of Milan,,MAC_consolidado_normalized.csv / nationality_applied_dataset.csv,MAC_consolidado_normalized.csv / nationality_applied_dataset.csv,,dados recuperados de base auxiliar; datas não localizadas,media
Giuseppe Santomaso,"Veneza, Itália",Accademia di Belle Arti di Venezia,1932,https://en.wikipedia.org/wiki/Giuseppe_Santomaso,https://en.wikipedia.org/wiki/Giuseppe_Santomaso,https://en.wikipedia.org/wiki/Giuseppe_Santomaso,A fonte consultada informa início dos estudos na Academia de Belas Artes de Veneza em 1932.,media
Aligi Sassu,"Milão, Itália; Milão, Itália",Accademia di Brera; Accademia Libera,c. 1920s; c. 1920s,https://sangiorgioarte.it/en/artisti/sassu-aligi/,https://sangiorgioarte.it/en/artisti/sassu-aligi/,,"Fontes de biografia indicam passagem por Brera e, depois, pela Accademia Libera, sem datas exatas nesta passada.",media
Scipione,"Roma, Itália","Scuola Libera di Nudo, Accademia di Belle Arti di Roma",,https://en.wikipedia.org/wiki/Scipione_(Gino_Bonichi),https://en.wikipedia.org/wiki/Scipione_(Gino_Bonichi),,instituição confirmada; data de ingresso não localizada com precisão na fonte consultada,media
Pio Semeghini,"Modena, Itália; Florença, Itália; Paris, França",Accademia di Belle Arti di Modena; Accademia di Belle Arti di Firenze; Académie Julian,,https://it.wikipedia.org/wiki/Pio_Semeghini,https://piosemeghini.it/biografia.php,,"As fontes convergem sobre a formação nas academias de Modena e Florença e a frequência à Académie Julian em Paris, mas sem datas precisas localizadas.",media
Gino Severini,"Roma, Itália; Roma, Itália",Free School for Nude Studies; academia privada / Villa Medici,c. 1899–1901; c. 1899–1901,Wikipedia; TheArtStory,Wikipedia; TheArtStory,Wikipedia; TheArtStory,Sem formação escolar contínua anterior; estudos artísticos formais curtos em Roma.,media
Gustave Singier,"Paris, França",École Boulle,1923–1926,Wikipedia; Annex Galleries,Wikipedia; Annex Galleries,Wikipedia; Annex Galleries,,media
Mario Sironi,"Roma, Itália; Roma, Itália","University of Rome; Scuola Libera del Nudo, Accademia di Belle Arti di Roma",até 1903; c. 1903–1905,https://en.wikipedia.org/wiki/Mario_Sironi,https://en.wikipedia.org/wiki/Mario_Sironi,https://en.wikipedia.org/wiki/Mario_Sironi,"A biografia consultada informa estudos de engenharia em Roma e, depois, formação artística na Scuola Libera del Nudo.",media
Ardengo Soffici,"Florença, Itália; Florença, Itália",Accademia di Belle Arti di Firenze; Scuola Libera del Nudo,1897–1900; c. 1897–1900,https://en.wikipedia.org/wiki/Ardengo_Soffici,https://en.wikipedia.org/wiki/Ardengo_Soffici,https://en.wikipedia.org/wiki/Ardengo_Soffici,Fontes apontam estudos na Academia de Belas Artes de Florença e na escola livre do nu antes da ida a Paris.,alta
Atanasio Soldati,"Turim, Itália",Politecnico di Torino,c. 1910s,fontes biográficas de referência,fontes biográficas de referência,fontes biográficas de referência,formação universitária anterior à atividade artística abstrata,media
Fernando Szyszlo,"Lima, Peru; Lima, Peru",Escuela Nacional de Ingeniería; Facultad de Artes Plásticas da Pontificia Universidad Católica del Perú,1943; c. 1940s,Wikipedia; Portal Contemporâneo da América Latina e Caribe,Wikipedia; Portal Contemporâneo da América Latina e Caribe,Wikipedia; Portal Contemporâneo da América Latina e Caribe,Inicia arquitetura e depois migra para artes plásticas.,alta
Arturo Tosi,"Milão, Itália",Brera Academy of Fine Arts (escola de estudos do nu),1890–1891,https://en.wikipedia.org/wiki/Arturo_Tosi,https://en.wikipedia.org/wiki/Arturo_Tosi,https://en.wikipedia.org/wiki/Arturo_Tosi,A biografia indica frequência à escola de estudos do nu da Brera entre 1890 e 1891.,alta
Waichi Tsutaka,"Osaka, Japão",Nakanoshima Yōga Kenkyūjo,1939,https://en.wikipedia.org/wiki/Waichi_Tsutaka,https://en.wikipedia.org/wiki/Waichi_Tsutaka,https://en.wikipedia.org/wiki/Waichi_Tsutaka,escola privada de pintura ocidental,media
