Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender,fonte_educated_at,confianca_educated_at,observacoes_pesquisa,batch_origem,fonte_place_of_birth,confianca_place_of_birth
Aieda Freitas,Brazil,Universidade Municipal de São Caetano do Sul,,,,,female,Lar Galeria | Intercom Sudeste,médio,Fonte secundária e registro acadêmico indicam formação/pós-graduação na USCS; graduação em Comunicação Social mencionada sem instituição claramente nomeada em fonte oficial. | place of birth não preenchido por ausência de fonte explícita e suficientemente verificável.,nova_tentativa_02; place_of_birth_lote_03; place_of_birth_lote_09,,
Ailadi,Italy,"Politecnico di Milano | ENSCI, Les Ateliers | Köln International School of Design",,"Italian Alps, Italy",,,female,site oficial da artista,alto,Bio autoral informa bacharelado e mestrado no Politecnico di Milano e períodos como visiting student na ENSCI e na Köln International School of Design.,nova_tentativa_03; place_of_birth_lote_03,Kinomural,médio
Akihito Ito,Japan,Nagoya University of Arts | Nagoya City University,,"Nagoya, Japan",,,male,perfil oficial do artista | ISEA Symposium Archives,alto,Perfil oficial explicita graduação em Nagoya University of Arts e mestrado em Nagoya City University.,10; place_of_birth_lote_05,site oficial (akihitoito.com),alto
Alaa Omari,Palestine,American University of Sharjah,,Palestine,,,,American University of Sharjah,alto,Página institucional identifica Alaa Omari como estudante de Bachelor of Science in Graphic Design.,nova_tentativa_03,,
Albert Bayona i Fernández,Spain,School of the Circle of Fine Arts,,Lleida,,,male,Wikipedia,baixo,Formação localizada apenas em fonte enciclopédica; não confirmada em biografia institucional consultada.,nova_tentativa_03,,
Albert Merino,Spain,University of Barcelona | Kunsthochschule Berlin-Weißensee,,"Barcelona, Spain",,,male,CCCB; WRO Art Center,médio,,1; place_of_birth_lote_05,FILE Festival / CCCB,alto
Alcindo Da Conceiçao,France,ARIES School of Graphic and Motion Design,,,,,male,FILE Festival,médio,A página da obra informa que o curta foi realizado por um grupo de 6 alunos da ARIES School. | place of birth não preenchido por risco de homônimo não desambiguado com segurança.,10; place_of_birth_lote_05; place_of_birth_lote_09,,
Alejandro Thornton,Argentina,National School of Fine Arts Prilidiano Pueyrredon,,Buenos Aires,,,male,,,,,,
Alessandra Plaza Saravia,Peru,Pontificia Universidad Católica del Perú | Universität der Künste Berlin,,Lima,,,female,PUCP (perfil docente); Decolonize Modul21,alto,,1,,
Alessandro Amaducci,Italy,Università degli Studi di Torino,,"Torino, Italy",,,male,Università degli Studi di Torino,alto,Fonte universitária informa graduação em Storia e Critica del Cinema.,nova_tentativa_03; place_of_birth_lote_05,site oficial / FILE Festival,alto
Alessandro Massobrio,,"Istituto di Musica G. Verdi di Asti | University of Turin | C.I.B.R.A., University of Pavia",,"Torino, Italy",,,male,site oficial do artista | Symby,médio,"Site autoral informa estudos no Istituto di Musica G. Verdi di Asti; University of Turin e C.I.B.R.A. aparecem em fontes biográficas consistentes, mas não diretamente institucionais.",nova_tentativa_03; place_of_birth_lote_05,Artribune / Sinewaves,médio
Alessio De Vecchi,Italy,Istituto Europeo di Design,,"Milan, Italy",,,male,FILE Festival,médio,Biografia do FILE explicita formação em Design Industrial pelo Istituto Europeo di Design.,8; place_of_birth_lote_05,FILE Festival / WUF Magazine,alto
Alex Moy,United States,DePaul University,,,,,male,FILE Festival,médio,Biografia do FILE explicita formação em design gráfico e animação pela DePaul University.,10; place_of_birth_lote_05,,
Alexandre Estebanez,United States,,,,,,male,,,Biografias consultadas não nomeiam instituição de ensino; mantido em branco. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada,nova_tentativa_03; lote_21; lote_30; place_of_birth_lote_05,,
Alexandre Veaux,France,Supinfocom – RUBIKA,,,,,male,portfólio oficial do artista; FILE Festival,alto,place of birth não preenchido por ausência de fonte explícita de nascimento.,1; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,
Alfonso Pretelt,Colombia,University of Barcelona,,"Bogotá, Colombia",,,,site do artista,médio,Fonte nomeia mestrado em sound art na UB; a formação em cinematografia mencionada em outras bios não traz instituição.,nova_tentativa_03; place_of_birth_lote_05,Sonic Matter / Intermediaciones,alto
Alfredo Ardia,Italy,Bauhaus-Universität Weimar | Sibelius Academy | Conservatorio Rossini,,Italy,,,male,site oficial do artista,alto,"CV autoral lista BA e MA na Bauhaus-Universität Weimar, intercâmbio na Sibelius Academy e formação no Conservatorio Rossini. | fonte indica apenas sul da Itália; mantido apenas o país",nova_tentativa_03; place_of_birth_lote_05,site oficial (alfredoardia.com),médio
Alia Alharmi,United Arab Emirates,New York University Abu Dhabi,,"Dubai, United Arab Emirates",,,female,FILE Festival (biografia do artista),médio,,1; place_of_birth_lote_05,FILE Festival,alto
Alice Jaunet,France,Supinfocom Rubika School,,,,,female,FILE Festival,médio,"Biografia individual e biografia de grupo do FILE indicam graduação pela Supinfocom Rubika School, em Valenciennes, com mestrado em Direção Digital. | place of birth não preenchido por ausência de fonte explícita de nascimento.",14; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,
Alice Saey,France,Haute école des arts du Rhin (HEAR),,"Paris, France",,,female,HEAR (página institucional),alto,,1; place_of_birth_lote_05,La Courneuve / MacDowell,médio
Aliénor Vallet,France,,,"Paris, France",,,female,,,"Biografia própria informa estudos em ciências humanas e sociais e formação audiovisual, sem nomear instituições. | revisto no lote_30: biografia indica estudos em ciências humanas e sociais e formação audiovisual, sem instituição nomeada",nova_tentativa_03; lote_21; lote_30; place_of_birth_lote_05,site oficial / FILE Festival,alto
Alois Di Leo,Peru,National Film and Television School,,Lima,,,male,Semaine de la Critique (entrevista),médio,,1,,
Amanda Varghese,India,American University of Sharjah,,,,,female,FILE Festival,médio,"Registro do FILE associa a obra à American University of Sharjah, sem detalhar curso ou grau. | place of birth não preenchido por ausência de fonte explícita de nascimento.",nova_tentativa_03; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,
Amber Xu,People's Republic of China,Shanghai University,,,,,female,Al-Tiba9 Contemporary Art,médio,Entrevista com a artista informa ingresso em programa de arte na Shanghai University; também menciona mestrado em Nova York sem nomear a instituição. | place of birth não preenchido por ausência de fonte explícita de nascimento.,nova_tentativa_03; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,
Amélie Nilles,France,Paris 8 University,,,,,female,Kunstuniversität Linz / TAMLab,médio,Biografia informa mestrado em Paris 8 University; estudos prévios em conservatório são mencionados sem nome da instituição. | place of birth não preenchido por ausência de fonte explícita de nascimento.,nova_tentativa_03; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,
Ana Lagator,Serbia,"Faculty of Dramatic Arts, Belgrade",,,,,female,FILE Festival,médio,Biografia do FILE explicita formação com ênfase em edição de cinema e televisão. | place of birth não preenchido por ausência de fonte explícita de nascimento.,8; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,
Ana Mouyis,Cyprus,Parsons The New School for Design | Pratt Institute,,"New York, USA",,,female,site oficial da artista,alto,Local de nascimento explicitado em entrevista em primeira pessoa.,1; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,Millennium Film Workshop (entrevista),alto
Anabela Costa,Portugal,Lisbon Fine Arts University,,"Lisbon, Portugal",,,female,monografia / Institut Français,médio,,2; place_of_birth_lote_05,FILE Festival / IFdigital,alto
Anaisa Franco,Brazil,Fundação Armando Alvares Penteado | University of Plymouth,,Minas Gerais,,,female,Enciclopédia Itaú Cultural,alto,Fonte institucional explicita graduação em Artes Plásticas pela FAAP e mestrado em arte digital e tecnologia pela University of Plymouth.,19,,
,,University of Plymouth,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
,,Fundação Armando Alvares Penteado,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Anastasia Melikhova,Russia,Ural State Academy of Architecture and Arts,,"Pyt-Yakh, Russia",,,female,FILE Festival,médio,Biografia do FILE informa formatura em 2016 pela Ural State Academy of Architecture and Arts.,8; place_of_birth_lote_05,FILE Festival / Doha Film Institute,alto
Ander Ugartemendia,Spain,autodidata,,,,,male,FILE Festival,médio,Biografia do FILE o descreve explicitamente como autodidata; a menção a Economia e Marketing não nomeia instituição. | place of birth não preenchido por ausência de fonte explícita de nascimento.,nova_tentativa_03; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,
Andrea Cristini,Italy,,,,,,male,,,"Biografia do FILE menciona estudos em Belas Artes em Milão e formação em Vancouver, sem nomear instituições. | revisto no lote_30: biografia do FILE menciona estudos em Belas Artes em Milão e formação em Vancouver, sem instituição nomeada | homônimo com jogador de futebol; local de nascimento do artista não confirmado | place of birth não preenchido por ausência de fonte explícita de nascimento.",nova_tentativa_03; lote_21; lote_30; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,
Andrea Familari,Italy,University of Pisa,,Italy,,,male,CV/website oficial,alto,"CV oficial explicita formação em History of Art na University of Pisa (2009–2013). | fonte indica apenas o país de nascimento, sem cidade",nova_tentativa_03; lote_21; place_of_birth_lote_05,site oficial (famifax.com) / FILE Festival,médio
Andreas Nicolas Fischer,Germany,Berlin University of the Arts,,"Munich, Germany",,,male,Studio ANF (site oficial),alto,,1; place_of_birth_lote_05,IDN World / Sedition,médio
Andressa Hadig Haidar,Brazil,Universidade de Fortaleza (UNIFOR),,,,,female,FILE Festival (biografia do artista),médio,place of birth não preenchido por ausência de fonte explícita de nascimento.,1; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,
Andrew Ellis Johnson,United States,State University of New York at Buffalo | School of the Art Institute of Chicago | Carnegie Mellon University,,"Cortland, New York, USA",,,male,Carnegie Mellon University,alto,,6; place_of_birth_lote_05,site oficial / SUNY Cortland,alto
Andrew Wilson,,Ringling College of Art and Design | CG Master Academy,,,,,,Zerply,médio,Perfil profissional informa graduação em Computer Animation no Ringling College of Art and Design e curso na CG Master Academy. | place of birth não preenchido por ausência de fonte explícita de nascimento.,nova_tentativa_03; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,
André Berlemont,France,,,,,,male,,,Biografias consultadas não nomeiam instituição de ensino; mantido em branco. | revisto no lote_30: sem instituição explicitamente nomeada em fonte confiável localizada | place of birth não preenchido por ausência de fonte explícita de nascimento.,nova_tentativa_03; lote_21; lote_30; place_of_birth_lote_05; place_of_birth_lote_02_chatgpt,,
Angela Stempel,United States,Tufts University | School of the Museum of Fine Arts at Tufts,,"San Francisco, California, USA",,,female,FILE Festival (biografia do artista),médio,,1; place_of_birth_lote_06,The Bureau / FILE Festival,alto
Anna Beata Baranska,Poland,Maria Curie-Skłodowska University in Lublin,,"Ilza, Poland",,,female,FILE Festival,médio,Biografia do FILE informa estudos de Pintura entre 2001 e 2006 em Lublin.,8; place_of_birth_lote_06,site oficial da artista / FILE Festival,alto
Anna Eyler,Canada,Carleton University | University of Ottawa | Algonquin College | Concordia University,,,,,female,Université du Québec en Outaouais,alto,"Perfil institucional lista BA, BFA, certificado introdutório e MFA. | place of birth não preenchido por ausência de fonte explícita de nascimento.",nova_tentativa_03; place_of_birth_lote_06; place_of_birth_lote_02_chatgpt,,
Anna Leterq,France,Lycée René Descartes,,,,,female,FILE Festival,médio,Fonte nomeia apenas a escola secundária. | place of birth não preenchido por ausência de fonte explícita de nascimento.,nova_tentativa_03; place_of_birth_lote_06; place_of_birth_lote_02_chatgpt,,
Anna Vasof,Greece,University of Thessaly,,Prague,,,female,,,,,,
,,University of Applied Arts Vienna,,,,,,,,Nome ausente na planilha; não foi possível pesquisar o local de nascimento com segurança.,place_of_birth_lote_12,,
Annapurna Kumar,United States,California Institute of the Arts (CalArts),,,,,female,Girls in Film,médio,Fonte informa MFA em Experimental Animation. | place of birth não preenchido por ausência de fonte explícita de nascimento.,nova_tentativa_03; place_of_birth_lote_06; place_of_birth_lote_02_chatgpt,,
Anne Beal,United States,Rhode Island School of Design,,,,,female,site oficial da artista,médio,place of birth não preenchido por ausência de fonte explícita de nascimento.,6; place_of_birth_lote_06; place_of_birth_lote_02_chatgpt,,
Anne Charlotte Benasouli,France,ARIES School of Graphic and Motion Design,,,,,female,FILE Festival,médio,A página da obra informa que o curta foi realizado por um grupo de 6 alunos da ARIES School. | place of birth não preenchido por ausência de fonte explícita de nascimento.,10; place_of_birth_lote_06; place_of_birth_lote_02_chatgpt,,
